rank,name,team,position
61,Davante Adams,LAR,WR
62,Rome Odunze,CHI,WR
63,Mark Andrews,BAL,TE
64,Luther Burden III,CHI,WR
65,Garrett Wilson,NYJ,WR
66,Jaylen Warren,PIT,RB
67,Bhayshul Tuten,JAX,RB
68,Caleb Williams,CHI,QB
69,Jared Goff,DET,QB
70,TreVeyon Henderson,NE,RB
71,Emeka Egbuka,TB,WR
72,Rhamondre Stevenson,NE,RB
73,Rico Dowdle,PIT,RB
74,DJ Moore,BUF,WR
75,Trevor Lawrence,JAX,QB
76,Justin Herbert,LAC,QB
77,Hunter Henry,NE,TE
78,DK Metcalf,PIT,WR
79,Mike Evans,SF,WR
80,Josh Downs,IND,WR
81,Bo Nix,DEN,QB
82,Jayden Reed,GB,WR
83,Brenton Strange,JAX,TE
84,Tony Pollard,TEN,RB
85,Marvin Harrison Jr.,ARI,WR
86,Jonathon Brooks,CAR,RB
87,Brock Purdy,SF,QB
88,Juwan Johnson,NO,TE
89,Carnell Tate,TEN,WR
90,Dalton Schultz,HOU,TE
91,Kenny Gainwell,TB,RB
92,Brian Thomas Jr.,JAX,WR
93,T.J. Hockenson,MIN,TE
94,Courtland Sutton,DEN,WR
95,Tyler Shough,NO,QB
96,J.K. Dobbins,DEN,RB
97,Jordan Mason,MIN,RB
98,Chris Godwin Jr.,TB,WR
99,Wan'Dale Robinson,TEN,WR
100,Michael Wilson,ARI,WR
101,Blake Corum,LAR,RB
102,Jakobi Meyers,JAX,WR
103,Jordan Addison,MIN,WR
104,Aaron Jones Sr.,MIN,RB
105,C.J. Stroud,HOU,QB
106,Kyle Monangai,CHI,RB
107,Stefon Diggs,WAS,WR
108,Malik Willis,MIA,QB
109,Khalil Shakir,BUF,WR
110,Chuba Hubbard,CAR,RB
111,KC Concepcion,CLE,WR
112,Jacory Croskey-Merritt,WAS,RB
113,Jalen Coker,CAR,WR
114,Makai Lemon,PHI,WR
115,Romeo Doubs,NE,WR
116,Baker Mayfield,TB,QB
117,Rashid Shaheed,SEA,WR
118,Kenyon Sadiq,NYJ,TE
119,Chris Rodriguez Jr.,JAX,RB
120,Tyjae Spears,TEN,RB
121,Denzel Boston,CLE,WR
122,Deebo Samuel Sr.,SF,WR
123,Michael Pittman Jr.,PIT,WR
124,Jordyn Tyson,NO,WR
125,Woody Marks,HOU,RB
126,Jalen Nailor,LV,WR
127,Jerry Jeudy,CLE,WR
128,Sam Darnold,SEA,QB
129,Tyrone Tracy Jr.,NYG,RB
130,De'Zhaun Stribling,SF,WR
131,Tre Tucker,LV,WR
132,Ryan Flournoy,DAL,WR
133,Jauan Jennings,MIN,WR
134,Keaton Mitchell,LAC,RB
135,Tre' Harris,LAC,WR
136,Dylan Sampson,CLE,RB
137,Adonai Mitchell,NYJ,WR
138,Tyler Allgeier,ARI,RB
139,Keenan Allen,IND,WR
140,Daniel Jones,IND,QB
141,Rachaad White,WAS,RB
142,Cam Ward,TEN,QB
143,Devaughn Vele,NO,WR
144,Caleb Douglas,MIA,WR
145,Travis Hunter,JAX,WR
146,Ja'Kobi Lane,BAL,WR
147,Isaac TeSlaa,DET,WR
148,Quentin Johnston,LAC,WR
149,Pat Bryant,DEN,WR
150,Xavier Worthy,KC,WR
151,Calvin Ridley,TEN,WR
152,Dontayvion Wicks,PHI,WR
153,Tank Bigsby,PHI,RB
154,Braelon Allen,NYJ,RB
155,Cyrus Allen,KC,WR
156,MarShawn Lloyd,GB,RB
157,Jonah Coleman,DEN,RB
158,Kaelon Black,SF,RB
159,Jalen McMillan,TB,WR
160,Isiah Pacheco,DET,RB
161,Alvin Kamara,NO,RB
162,RJ Harvey,DEN,RB
163,Matthew Golden,GB,WR
164,Matthew Stafford,LAR,QB
165,Jayden Higgins,HOU,WR
166,Rashod Bateman,BAL,WR
167,Dallas Goedert,PHI,TE
168,Malik Washington,MIA,WR
169,Travis Kelce,KC,TE
170,Mike Washington Jr.,LV,RB
171,Cooper Kupp,SEA,WR
172,Brian Robinson,ATL,RB
173,Kayshon Boutte,NE,WR
174,Isaiah Likely,NYG,TE
175,Darius Slayton,NYG,WR
176,Jaxson Dart,NYG,QB
177,Justice Hill,BAL,RB
178,Jake Ferguson,DAL,TE
179,Dalton Kincaid,BUF,TE
180,Kyler Murray,MIN,QB
181,Ollie Gordon II,MIA,RB
182,Troy Franklin,DEN,WR
183,Germie Bernard,PIT,WR
184,Jordan Love,GB,QB
185,Seahawks,SEA,DEF
186,Broncos,DEN,DEF
187,Texans,HOU,DEF
188,Vikings,MIN,DEF
189,Rams,LAR,DEF
190,Patriots,NE,DEF
191,Brandon Aubrey,DAL,K
192,Steelers,PIT,DEF
193,Lions,DET,DEF
194,Ka'imi Fairbairn,HOU,K
195,Jason Myers,SEA,K
196,Chargers,LAC,DEF
197,Eagles,PHI,DEF
198,Cameron Dicker,LAC,K
199,Jake Bates,DET,K
200,Chase McLaughlin,TB,K
201,Harrison Mevis,LAR,K
202,Tyler Loop,BAL,K
203,Cam Little,JAX,K
204,Trey Smack,GB,K
205,Jaguars,JAX,DEF
206,Blake Grupe,IND,K
207,Browns,CLE,DEF
208,Wil Lutz,DEN,K
209,Bills,BUF,DEF
210,Eddy Piñeiro,SF,K
211,Harrison Butker,KC,K
212,Bears,CHI,DEF
213,Ravens,BAL,DEF
214,Cowboys,DAL,DEF
215,Will Reichard,MIN,K
216,Saints,NO,DEF
217,Titans,TEN,DEF
218,Chris Boswell,PIT,K
219,Cairo Santos,CHI,K
220,Andy Borregales,NE,K
221,Falcons,ATL,DEF
222,Evan McPherson,CIN,K
223,Bengals,CIN,DEF
224,Malik Nabers,NYG,WR
225,Alec Pierce,IND,WR
226,Tucker Kraft,GB,TE
227,Patrick Mahomes,KC,QB
228,George Kittle,SF,TE
229,Zach Charbonnet,SEA,RB
230,Tank Dell,HOU,WR
